WEEKLY,,,,,,,,,,MONTHLY,,,,,,,,
MARKET CUSTOMERS,,,,,,,,,,MARKET CUSTOMERS,,,,,,,,
DATE,ZONE 1,Zone 1 Sales,Outside,Zone 2,Zone 2 Sales,Zone 3,Zone 3 Sales,TOTAL Sales,Revenue,Month ,TOTAL,Revenue,,Month,Zone 1,Zone 2,Zone 3,Total
January,139,,179,132,,47,,318,"$5,159.17 ",,,,,,,,,
1/30/2017,20,,29,22,,7,,49,721.68,,,,,,,,,
1/23/2017,44,,40,26,,14,,84,,,,,,,,,,
1/16/2017,47,,60,43,,17,,107,,,,,,,,,,
1/9/2017,28,,50,41,,9,,78,,,,,,,,,,
2016,3736,,3061,1449,,1270,,6801,,,,,,,,,,
12/28/2016,64,,54,36,,18,,118,,,,,,,,,,
12/21/2016,46,,34,28,,6,,80,,,,,,,,,,
12/14/2016,68,,51,32,,19,,119,,,,,,,,,,
12/6/2016,52,,49,27,,22,,101,,,,,,,,,,
11/30/2016,53,,20,17,,3,,73,,,,,,,,,,
11/23/2016,73,,75,52,,23,,148,,,,,,,,,,
11/16/2016,65,,54,35,,19,,119,,,,,,,,,,
11/9/2016,87,,57,32,,25,,145,,,,,,,,,,
11/2/2016,73,,77,36,,41,,150,,,,,,,,,,
10/26/2016,74,,67,29,,38,,141,,,,,,,,,,
10/19/2016,68,,87,38,,49,,155,,,,,,,,,,
10/12/2016,62,,46,27,,19,,108,,,,,,,,,,
10/5/2016,67,,59,59,,4,,126,,,,,,,,,,
9/28/2016,68,,63,39,,24,,131,,,,,,,,,,
9/21/2016,82,,56,40,,19,,141,,,,,,,,,,
9/14/2016,68,,53,25,,28,,121,,,,,,,,,,
9/7/2016,80,,51,26,,25,,131,,,,,,,,,,
8/31/2016,82,,39,19,,20,,121,,,,,,,,,,
8/24/2016,53,,52,28,,24,,105,,,,,,,,,,
8/17/2016,75,,60,35,,25,,135,,,,,,,,,,
8/10/2016,100,,63,30,,33,,163,,,,,,,,,,
8/3/2016,52,,57,25,,32,,109,,,,,,,,,,
7/27/2016,80,,52,29,,23,,132,,,,,,,,,,
7/20/2016,79,,53,34,,19,,132,,,,,,,,,,
7/13/2016,61,,31,15,,16,,92,,,,,,,,,,
7/6/2016,81,,42,18,,24,,123,,,,,,,,,,
June total,347,0,206,94,0,112,0,553,,,,,,,,,,
6/29/2016,95,,42,27,,15,,137,,,,,,,,,,
6/22/2016,87,,41,21,,20,,128,,,,,,,,,,
6/15/2016,102,,43,18,,25,,145,,,,,,,,,,
6/8/2016,63,,80,28,,52,,143,,,,,,,,,,
6/1/2016,75,,53,27,,26,,128,,,,,,,,,,
5/25/2016,54,,78,40,,38,,132,,,,,,,,,,
5/18/2016,75,,71,33,,38,,146,,,,,,,,,,
5/11/2016,70,,85,34,,51,,155,,,,,,,,,,
5/4/2016,66,,51,26,,25,,117,,,,,,,,,,
