 ,,,,,,,,Graphs,,,,,,,
DATE (Thursday is the last day of that weeks calculation - they go from Friday to Thursday),TOTAL BOXES,BASIC BOXES,FAMILY BOXES,ZONE 1,ZONE 2,ZONE 3,Revenue,Month,Zone 1,Zone 2,Zone 3,,Month,Total Boxes,Revenue
10/5/2016,62,48,14,12,17,33,,,,,,,,,
9/28/2016,63,50,13,12,16,35,,,,,,,,,
9/21/2016,60,43,17,10,15,33,,,,,,,,,
9/14/2016,59,42,17,13,16,30,,,,,,,,,
9/7/2016,67,48,19,17,10,40,,,,,,,,,
8/31/2016,70,51,19,15,6,49,,,,,,,,,
8/24/2016,60,46,14,14,3,40,,,,,,,,,
8/17/2016,67,54,13,16,9,42,,,,,,,,,
8/10/2016,68,55,13,17,7,44,,,,,,,,,
8/3/2016,70,59,11,15,11,44,,,,,,,,,
7/27/2016,62,50,12,20,7,35,,,,,,,,,
7/20/2016,76,62,14,23,6,48,,,,,,,,,
7/13/2016,67,54,13,19,10,38,,,,,,,,,
7/6/2016,68,52,16,19,6,43,,,,,,,,,
6/29/2016,68,51,17,21,10,37,,,,,,,,,
6/22/2016,77,61,16,24,5,48,,,,,,,,,
6/15/2016,86,67,16,20,8,58,,,,,,,,,
6/8/2016,71,58,13,17,6,48,,,,,,,,,
6/1/2016,90,69,18,18,11,62,,,,,,,,,
5/25/2016,101,73,23,18,13,70,,,,,,,,,
5/18/2016,91,73,18,17,7,67,,,,,,,,,
5/11/2016,98,81,17,17,12,69,,,,,,,,,
5/4/2016,90,70,20,17,5,68,,,,,,,,,
4/27/2016,86,72,14,17,4,65,,,,,,,,,
4/20/2016,92,77,15,15,7,70,,,,,,,,,
4/13/2016,77,62,15,16,6,55,,,,,,,,,
4/6/2016,83,71,12,17,4,62,,,,,,,,,
3/30/2016,76,61,15,15,3,58,,,,,,,,,
3/16/2016,84,71,13,14,6,64,,,,,,,,,
3/9/2016,73,59,14,14,5,54,,,,,,,,,
FY 15-16,3264,2348,913,514,205,2492,"$63,173.62 ",,,,,,,,
3/2/2016,76,62,14,14,4,58,,,,,,,,,
2/24/2016,69,55,14,13,2,54,,,,,,,,,
2/17/2016,83,67,16,69,1,13,,,,,,,,,
2/10/2016,64,46,18,13,2,49,,,,,,,,,
2/3/2016,88,68,20,17,3,68,,,,,,,,,
1/27/2016,74,59,15,13,2,59,,,,,,,,,
1/20/2016,95,80,15,12,4,79,,,,,,,,,
1/13/2016,0,0,0,0,0,0,,,,,,,,,
1/6/2016,0,0,0,0,0,0,,,,,,,,,
12/30/2015,65,53,12,11,3,51,,,,,,,,,
12/23/2015,70,58,12,12,5,33,,,,,,,,,
12/16/2015,81,64,17,13,4,64,,,,,,,,,
12/9/2015,55,41,14,9,2,44,,,,,,,,,
12/2/2015,0,0,0,0,0,0,,,,,,,,,
11/25/2015,67,52,15,12,3,52,,,,,,,,,
11/18/2015,70,54,16,13,5,52,,,,,,,,,
11/11/2015,81,59,22,16,4,61,,,,,,,,,
11/4/2015,78,58,20,17,4,57,,,,,,,,,
10/28/2015,69,52,17,14,2,53,,,,,,,,,
10/21/2015,66,48,18,13,1,52,,,,,,,,,
10/14/2015,73,53,20,12,1,60,,,,,,,,,
10/7/2015,75,53,22,12,1,62,,,,,,,,,
9/30/2015,75,55,13,14,4,57,,,,,,,,,
9/23/2015,67,52,15,10,3,45,,,,,,,,,
9/16/2015,56,38,18,12,5,29,,,,,,,,,
9/9/2015,58,40,18,15,6,37,,,,,,,,,
9/2/2015,47,31,16,10,3,34,,,,,,,,,
8/26/2015,47,31,16,8,3,36,,,,,,,,,
8/19/2015,42,29,13,10,4,28,,,,,,,,,
8/12/2015,28,13,9,4,2,16,,,,,,,,,
8/5/2015,34,19,15,7,4,23,,,,,,,,,
7/29/2015,24,18,16,4,1,19,,,,,,,,,
7/22/2015,31,15,16,5,1,19,,,,,,,,,
7/15/2015,26,15,11,3,2,21,,,,,,,,,
7/8/2015,32,19,13,0,4,28,,,,,,,,,
7/1/2015,29,19,10,4,4,21,,,,,,,,,
